sha256,bytes,canonical_path,selected_source,selected_source_path,source_copy_count
50baa73977ef92a44864f56fc49457104e4781225c67f86b617f48229134cf12,531579,music/Cybersecurity_Is_Not_Just_for_Hackers.mp3,repo,assets/music/Cybersecurity_Is_Not_Just_for_Hackers.mp3,2
51235e8b8cb6fe6835c8118797e1529a4a7799030819ce71d294d9a0045b9087,752294,clips/ep01/ep01-s0-opening.jpg,repo,clips/ep01/ep01-s0-opening.jpg,2
5130d95f23adbc13145d549abeea539f3f130e85f446460a38e485ed492fcfeb,551531,voice/Aunt Truth.jpg,repo,voice/Aunt Truth.jpg,2
51388ebe617ae08ed86aace659e9f8665ba08c09c25d20f71fba561cabfa82d9,1032113,clips/ep01_animated/ep01-s-dogname-animated.mp4,repo,clips/ep01_animated/ep01-s-dogname-animated.mp4,2
513a96e1aa9292761f2f0d94f0f4d73332ac770d2655834df321d86f954a367d,399075,clips/ep01/ep01-s8c-updates.jpg,repo,clips/ep01/ep01-s8c-updates.jpg,2
51e45a8b1c0d72b059bf23b5ce3539a89fcd892f95779556942997b272b938d3,335379,clips/ep01/ep01-s1a-door.jpg,repo,clips/ep01/ep01-s1a-door.jpg,2
5335f10625d1adc1d39951f920b94db82f6bc2cd7d3ccdc9177e868fd08a9782,2264529,episodes/EP02_Passwords_and_Password_Managers/02_beats/ep02_beat01_carrying_skeleton_key_runway_16x9_1920x1080.png,new,episodes/EP02_Passwords_and_Password_Managers/02_beats/ep02_beat01_carrying_skeleton_key_runway_16x9_1920x1080.png,2
534cf05c0e7dae4048e9707d5c3b6639c7083942915e65f161bd1a6d09949aff,417154,legacy-projects/remotion/assets/cia_triad_focus_asset.png,legacy,remotion/public/assets/cia_triad_focus_asset.png,1
54d968d26dcf8a250c9a6a9e0a8536c4e8d1784e167ff022faa1194bf0da8fa2,6100,branding/files.zip,new,branding/files.zip,1
54dc8d97133de2104597d9438d4cf6e1c2ba8fbdf3ca349acfd5935e2fd9e764,25255791,legacy-projects/remotion/clips/ep01/b-roll-08.mp4,legacy,remotion/public/clips/ep01/b-roll-08.mp4,1
5549e4145b43f61248e96bdd46111ac0711640e31ba8258bd536adfdefa10494,386300,clips/ep01/ep01-s8e-not-panic.jpg,repo,clips/ep01/ep01-s8e-not-panic.jpg,2
5623d06f9664beb924ff80076ab985f0a23e2cab947844a28c61aa93b87203b4,309152,clips/ep01/ep01-s6a-hover.jpg,repo,clips/ep01/ep01-s6a-hover.jpg,2
586d8ff948326fa3278b5e007defa91a7a42427cdcd2ce6db54aa0563ed03623,269542,clips/ep01/ep01-s-dogname.jpg,repo,clips/ep01/ep01-s-dogname.jpg,2
59ff1a477d61b2f576a77d193a629387efbf4ede0cacb611c50a7543ebb85f19,466323,clips/ep01/ep01-s1b-keys.jpg,repo,clips/ep01/ep01-s1b-keys.jpg,2
5a9c0a247778843491cb2e821eaead661ffbac880584c8a278f0c0164c295e2d,1827849,clips/library/at-lib-04.mp4,repo,clips/library/at-lib-04.mp4,3
5b05452787c3effdda00d591ad32daf5b243f95c8b836008d226ce057bcd3365,2579686,episodes/EP02_Passwords_and_Password_Managers/05_runway_clips/E02_B04C_Automated_Credential_Stuffing_Runway.mp4,new,episodes/EP02_Passwords_and_Password_Managers/05_runway_clips/E02_B04C_Automated_Credential_Stuffing_Runway.mp4,1
5d42e47f2b58414a47b850cc795c148064492fdbdafdd39fc96746a2647ac8bb,2584911,campaigns/instagram-carousel/carousel_03_passwords_codes_money.png,new,Instagram Carousel/carousel_03_passwords_codes_money.png,2
5e53ab4e3b1603de078349eb214fa0cc22dd7ecf24cd48e8ded5854f33a3bac8,1335733,episodes/EP02_Passwords_and_Password_Managers/05_runway_clips/E02_B05I_One_Website_Gets_Breached_Runway.mp4,new,episodes/EP02_Passwords_and_Password_Managers/05_runway_clips/E02_B05I_One_Website_Gets_Breached_Runway.mp4,1
5f2b470cb5da2ee94e18855683bcc4aacc09e8081cd0e454519063385e1f3962,242358,clips/ep01/ep01-s2d-wantsin.jpg,repo,clips/ep01/ep01-s2d-wantsin.jpg,2
6176b8034b3b095d626d2f5acb396fea6d94252301b3ee3a985315cb78f431aa,1153251,clips/ep01_animated/ep01-s8b-2fa.mp4,repo,clips/ep01_animated/ep01-s8b-2fa.mp4,2
63d27141ad3706c3bb3d045914f155942bbd705f1a260740edf0655aa3886218,34195280,legacy-projects/remotion/audio/ep01_narration.wav,legacy,remotion/public/audio/ep01_narration.wav,1
6433e4744425370321f61c28aa240bab6b68485bdfa5ae630a38d0b3e6d5932e,4142836,"clips/ep01_animated/Gen-4_5 - Auntie Truth sits still in her neon home studio, facing the camera_ She holds a confident.gen-4_5 - auntie truth sits still in her neon home studio, facing the camera_ she holds a confident.mp4",repo,"clips/ep01_animated/Gen-4_5 - Auntie Truth sits still in her neon home studio, facing the camera_ She holds a confident.gen-4_5 - auntie truth sits still in her neon home studio, facing the camera_ she holds a confident.mp4",2
643f8a8dc8bd9c19225afffad2becfec5426180b3749cb208abdf1a6c8354efc,32044,legacy-unclassified/legacy/chatterbox/out.wav,legacy,chatterbox/out.wav,1
647bd525d25f4d3eec5ae80095fbf4af091784e7837186dee75eab9f3f4ce023,2522198,audio/Character_Video_With_Coffee_Sip.mp4,legacy,audio/Character_Video_With_Coffee_Sip.mp4,2
68bea47aa92d25a70dba5ed12a7af9df3f0aa66d2adb246c8193279a6729658b,4019699,legacy-projects/remotion/clips/ep01/b-roll-05b.mp4,legacy,remotion/public/clips/ep01/b-roll-05b.mp4,1
694a9c61f2b26d35cfc1845fb48d79d0c2a34d8b5fcf0ee1b143d3245ee4475a,24650176,legacy-projects/remotion/clips/ep01/b-roll-05.mp4,legacy,remotion/public/clips/ep01/b-roll-05.mp4,1
698f3566fe20c4c5eb123b5b17489d02abd5603ab02dedd1431e0c77c0b803f1,303168,clips/ep01/ep01-s9-habits.jpg,repo,clips/ep01/ep01-s9-habits.jpg,2
69cb41d09805fca223f33cf143e643cffaff29f2a2382f89560f6c0bf9132576,1375966,audio/processed/video_09_ai.mp3,legacy,truth-explains-media/audio/processed/video_09_ai.mp3,1
6a86e418d1566beae82fe16df064312a048293769e31f0e817beb33cf211b65d,4609253,audio/jonasblakewood-background-music-519872.mp3,repo,audio/jonasblakewood-background-music-519872.mp3,2
